,Unnamed: 0,docid,string,label,start,end,Remove
61738,61738,7336,ALONSO PEREZ,PER,23,25,0
61733,61733,7335,ALONSO PEREZ,PER,18,20,0
68595,68595,8240,ALONSO PEREZ,PER,27,29,0
61725,61725,7334,ALONSO PEREZ,PER,0,2,0
61762,61762,7339,ALONSO PEREZ,PER,38,40,0
61723,61723,7333,ALONSO PEREZ,PER,29,31,0
61715,61715,7332,ALONSO PEREZ,PER,0,2,0
61711,61711,7331,ALONSO PEREZ,PER,21,23,0
68603,68603,8241,ALONSO PEREZ,PER,47,49,0
68617,68617,8242,ALONSO PEREZ,PER,89,91,0
61701,61701,7330,ALONSO PEREZ,PER,0,2,0
61698,61698,7329,ALONSO PEREZ,PER,30,32,0
68627,68627,8243,ALONSO PEREZ,PER,63,65,0
68651,68651,8247,ALONSO PEREZ,PER,19,21,0
68660,68660,8247,ALONSO PEREZ,PER,107,109,0
61639,61639,7319,ALONSO PEREZ,PER,0,2,0
61770,61770,7341,ALONSO PEREZ,PER,0,2,0
61764,61764,7340,ALONSO PEREZ,PER,0,2,0
61645,61645,7320,ALONSO PEREZ,PER,0,2,0
61652,61652,7321,ALONSO PEREZ,PER,0,2,0
61662,61662,7322,ALONSO PEREZ,PER,28,30,0
68906,68906,8283,ALONSO PEREZ,PER,119,121,0
61667,61667,7324,ALONSO PEREZ,PER,17,19,0
61673,61673,7325,ALONSO PEREZ,PER,13,15,0
68739,68739,8260,ALONSO PEREZ,PER,0,2,0
61683,61683,7326,ALONSO PEREZ,PER,33,35,0
68663,68663,8247,ALONSO PEREZ,PER,136,138,0
61688,61688,7327,ALONSO PEREZ,PER,21,23,0
61693,61693,7328,ALONSO PEREZ,PER,27,29,0
61670,61670,7324,ALONSO PEREZ,PER,63,65,0
61561,61561,7306,ALONSO PEREZ,PER,3,5,0
48230,48230,5375,ALONSO PEREZ,PER,30,32,0
61555,61555,7304,ALONSO PEREZ,PER,12,14,0
