,0
775,nufrio alfaro
776,nufrio ortega
777,nufro
778,nufro colindres
779,nufro ortega
780,obispo escalas
781,obligandome va
782,ocampo
783,oidores real
784,onofrio claramate
785,ortega
786,ovalle
787,p fr
788,p gabriel ortigosa
789,p campos
790,pabellon
791,pablo
792,pablo lamperez
793,pablo legot
794,pablo legote
795,pablo legott
796,pablos legot
797,pablos legote
798,pacheco
799,padre ramirez
800,pagos ytem
801,palafox
802,palomita herrera
803,pasteles y pescados
804,patriarcas
805,patriarcha señor san joseph
806,paula rodillas
807,paula zurbaran
808,pedro --
809,pedro anbachts
810,pedro bastardo
811,pedro berdiel
812,pedro calus
813,pedro corbett
814,pedro dias alcaldes
815,pedro donaire
816,pedro escut
817,pedro ignasio zulueta
818,pedro junquito
819,pedro languazer
820,pedro legot
821,pedro motesdaco
822,pedro pesatierra
823,pedro pestierra
824,pedro rogel
825,pedro sigato
826,pedro torado y guzman
827,pedro valenangel
828,pedro varinelos
829,pedro barva
830,pedro alicante
831,pedro areno
832,pedro conique
833,pedro guisante
834,pedro hondarca
835,pedro laxas
836,pedro tuno
837,pedro urtiaga
838,pedro viscanes
839,pedro le moyne
840,pedro musquis
841,pedro ubisso
842,pedro vorja
843,pedro emreynel
844,pedro posso
845,pedro rey
846,perdiz asada
847,petronila guindalo
848,phelipe
849,philipe queviejo
850,pie
851,pilato
852,pilato lavando
853,pimentel
854,piti juan
855,platero
856,pontifice benedicto xiv
857,potifar
858,prodigo
859,prodigo cuando recibio
860,propugnaculum hierosolymitanum
861,prouior informen
862,prouisor
863,populo
864,quiteria tejada
865,racionero diego uidal
866,rafael aubri
867,rason
868,razon de
869,rdo mill
870,realsado azulete
871,recaudo
872,recibi
873,recibi señor
874,recibo licdo
875,reciui señor
876,regente gebara san benito el rostro
877,reliebe redondas
878,relieuo angeles
879,rema legote
880,remade legot
881,remate retablo
882,requadros releuados
883,resanar oro
884,reseui
885,resgdo
886,resivir yten
887,retablo
888,retablo representasiones
889,retablo mayor
890,retablo y sagrario
891,retor
892,reuerendisimo cardenal
893,reverendisimo
894,rey david
895,rey hermenegdo
896,rey nuestro
897,reynos mexoro
898,ricardo hoguen
899,rio guadalquivir
900,riquiera el gueco
901,rmo
902,rmo cardenal
903,roberto jamone
904,rocoforte
905,rodrigo
906,rodrigo casreno
907,rodrigo franquilo
908,rodrigo lamogar
909,rodrigo abaeu
910,rodrigo abrego
911,rodrigo almança otrosi
912,rodrigo micergilio
913,rodrigo xeres
914,rodrigo ezija
915,rodriguez
916,roelas y salcedo
917,roque
918,roque balduc
919,roque bordoque
920,rosales
921,rosas
922,ruano
923,rubio
924,ruego abeis
925,rufina
926,rufina de
927,rufina tordera
928,rufina albornos
929,rut bogueles
930,ruy
931,s m felipe
932,s martin
933,sa abadessa
934,sabastiana abrego
935,saluador balladares
936,salvador aquelman
937,salvador esquerer
938,salvador mompian
939,sanbarte
940,santana
941,santisimo
942,santisimo sacramento columnas y repisas
943,sebastian fijos
944,sebastian veles
945,sebastiana
946,sebastiana abrego
947,segun gestoso
948,sevillapedro guzman
949,sevillapedro carpio
950,señor antonio
951,señoresbenvenuto tortillo
952,señoria el señor prouisor
953,silva
954,simona biere
955,simon lonsero
956,simon lasas
957,sor provisor informando
958,sr prousor
959,sr simon
960,sra abadessa
961,st hermenegildo
962,steuan aqua fria
963,susana
964,susana sebarillo ymbrea
965,teodora biller
966,teodora labor
967,teodora van vormo
968,teodoro bormio
969,teodoro juy
